Action	AverageRating: 3.73 (TotalRatings: 20)
Adventure	AverageRating: 3.85 (TotalRatings: 30)
Animation	AverageRating: 4.17 (TotalRatings: 6)
Biography	AverageRating: 4.14 (TotalRatings: 14)
Children	AverageRating: 4.25 (TotalRatings: 2)
Comedy	AverageRating: 3.96 (TotalRatings: 12)
Crime	AverageRating: 3.78 (TotalRatings: 20)
Drama	AverageRating: 3.81 (TotalRatings: 76)
Family	AverageRating: 4.25 (TotalRatings: 2)
Fantasy	AverageRating: 3.95 (TotalRatings: 10)
History	AverageRating: 4.00 (TotalRatings: 6)
Music	AverageRating: 3.88 (TotalRatings: 4)
Mystery	AverageRating: 4.00 (TotalRatings: 8)
Romance	AverageRating: 3.75 (TotalRatings: 8)
Sci-Fi	AverageRating: 3.85 (TotalRatings: 20)
Thriller	AverageRating: 3.88 (TotalRatings: 16)
War	AverageRating: 4.00 (TotalRatings: 2)
